actorID,movieID
1,0000158
1,0000741
1,0725543
1,0001815
1,0001728
1,0001652
1,0001633
1,0606658
1,0902184
1,0582418
1,0000388
1,0293589
1,0422710
1,0029460
1,0039970
1,0073765
1,7610142
1,0192368
1,0220635
1,0233733
1,0267724
1,0328678
1,0344362
1,0431957
1,0489849
1,0505239
1,0528802
1,0563902
1,0569680
1,0640891
1,0682066
1,0684442
1,0698413
1,0348562
1,0710020
1,0004056
1,0842303
1,0021656
1,0030615
1,0070166
1,0120783
1,0005124
1,0921942
2,0000112
2,0000293
2,0001713
2,0000463
2,0000833
2,0001132
2,0001059
2,0001409
2,0424167
2,0001086
2,0005155
2,0094039
2,0457655
2,0330601
2,0475336
2,0235206
2,0482070
2,0593165
2,0339778
2,0000378
2,0037807
2,0411570
2,0586883
2,0125861
2,0538070
2,1143246
2,1080712
2,0132709
2,1023764
2,2000890
2,0186426
2,0219908
2,4196483
2,0269102
2,0286170
2,8066764
2,0497541
2,1750488
2,0584533
2,0080282
2,0755314
2,0933865
3,0205423
3,0004866
3,0000420
3,0000187
3,0001746
3,0000666
3,0001860
3,0000884
3,0698998
3,0000104
3,0572001
3,0735466
3,0000674
3,0893928
3,0000161
3,0129538
3,0000233
3,0004744
3,0004980
3,3101179
3,0492908
3,0565709
3,0750684
3,0804043
3,0000673
3,0000619
3,1315920
3,0086292
3,0903748
3,0000246
4,0000237
4,0000432
4,0000623
4,0000362
4,0001199
4,0005148
4,0001254
4,0340973
4,0698707
4,0001601
4,0274684
4,0762153
4,0889846
4,0366405
4,0805653
4,0438682
4,0905289
4,0905290
4,0182824
4,0174780
4,0387900
4,0915518
4,0598887
4,0121620
4,0780005
4,0681586
4,0219410
4,0544382
4,0296138
4,0896107
4,0106755
4,0001756
4,0779072
4,0679885
4,0329659
4,0447370
4,0037813
4,0826848
4,0658225
4,0066664
4,1338528
4,9154012
4,0000017
4,1503505
4,0342958
4,0000032
4,0000172
4,0001468
4,0001508
4,0001509
4,0000541
4,0586800
4,0700958
4,0733678
4,0000078
4,0000080
4,0933746
4,0935985
5,0000244
5,0000456
5,0000551
5,0001530
5,0001065
5,0293422
5,0001599
5,0745232
5,0641418
5,0338687
5,0359809
5,0468230
5,0745774
5,0222323
5,0798900
5,0025295
5,0176384
5,0778616
5,0455948
5,0725090
5,0632300
5,0477280
5,0105119
5,1017863
5,0459779
5,0114771
5,0377440
5,0094493
5,0825011
5,0063648
5,0697659
5,0922038
5,0414968
5,0606668
